number	name	district	party	votes	got_mandate
101	VERONIKA ISBERG	1	Rahva Ühtsuse Erakond	55	False	
102	VADIM ŠAPTŠENKO	1	Rahva Ühtsuse Erakond	20	False	
103	AIMAR JUKKUM	1	Rahva Ühtsuse Erakond	14	False	
137	URMAS ESPENBERG	1	Eesti Konservatiivne Rahvaerakond	2087	False	
138	NELE VALGEPEA	1	Eesti Konservatiivne Rahvaerakond	281	False	
147	MARET JÕGI	1	Eesti Konservatiivne Rahvaerakond	130	False	
141	RIHO RAUSMA	1	Eesti Konservatiivne Rahvaerakond	116	False	
143	ANNIKA SOOTS	1	Eesti Konservatiivne Rahvaerakond	101	False	
139	TAIVO PÕRK	1	Eesti Konservatiivne Rahvaerakond	83	False	
146	REIN PIKA	1	Eesti Konservatiivne Rahvaerakond	57	False	
145	URMAS SIEMER	1	Eesti Konservatiivne Rahvaerakond	47	False	
140	NIKOLAI JAKOBIŠVILI	1	Eesti Konservatiivne Rahvaerakond	28	False	
142	MARIKA ISTAHL	1	Eesti Konservatiivne Rahvaerakond	28	False	
144	ALEKSANDER TŠERNIKOV	1	Eesti Konservatiivne Rahvaerakond	28	False	
262	KRISTEN MICHAL	1	Eesti Reformierakond	4766	True	
263	HEIDY PURGA	1	Eesti Reformierakond	3283	True	
265	VILJA SAVISAAR-TOOMAST	1	Eesti Reformierakond	2395	False	
264	REMO HOLSMER	1	Eesti Reformierakond	1385	False	
266	TIINA LOKK-TRAMBERG	1	Eesti Reformierakond	977	False	
267	ANTS LEEMETS	1	Eesti Reformierakond	570	False	
271	ANDRES ARO	1	Eesti Reformierakond	206	False	
270	LIINA HERMAKÜLA	1	Eesti Reformierakond	184	False	
269	KARIN PÄRTEL	1	Eesti Reformierakond	150	False	
268	TATJANA MURAVJOVA	1	Eesti Reformierakond	144	False	
272	GEROL SILKIN	1	Eesti Reformierakond	89	False	
387	KEN-MARTI VAHER	1	Erakond Isamaa ja Res Publica Liit	2313	True	
388	LIISA-LY PAKOSTA	1	Erakond Isamaa ja Res Publica Liit	1808	False	
389	TARMO KRUUSIMÄE	1	Erakond Isamaa ja Res Publica Liit	1260	False	
395	TIIT MEREN	1	Erakond Isamaa ja Res Publica Liit	292	False	
391	DIANA INGERAINEN	1	Erakond Isamaa ja Res Publica Liit	288	False	
390	MAKSIM ROGALSKI	1	Erakond Isamaa ja Res Publica Liit	278	False	
394	AVO ÜPRUS	1	Erakond Isamaa ja Res Publica Liit	247	False	
393	TIIA SIHVER	1	Erakond Isamaa ja Res Publica Liit	233	False	
397	TIIT RIISALO	1	Erakond Isamaa ja Res Publica Liit	229	False	
392	IMRE RAMMUL	1	Erakond Isamaa ja Res Publica Liit	158	False	
396	HENRIK AAVIK	1	Erakond Isamaa ja Res Publica Liit	87	False	
512	OLEV-ANDRES TINN	1	Erakond Eestimaa Rohelised	247	False	
514	EERO UUSTALU	1	Erakond Eestimaa Rohelised	85	False	
517	MIHKEL VESKIMÄGI	1	Erakond Eestimaa Rohelised	69	False	
516	PIRET KÄIGE	1	Erakond Eestimaa Rohelised	62	False	
515	RAIVO JUURAK	1	Erakond Eestimaa Rohelised	39	False	
513	ANDREI GUDIM	1	Erakond Eestimaa Rohelised	37	False	
552	VICTOR POLYAKOFF	1	Eestimaa Ühendatud Vasakpartei	16	False	
555	JEKATERINA KRAVTSOVA	1	Eestimaa Ühendatud Vasakpartei	11	False	
553	DIANA VINOGRADOVA	1	Eestimaa Ühendatud Vasakpartei	9	False	
554	ADA LEIST	1	Eestimaa Ühendatud Vasakpartei	3	False	
577	NEEME KUNINGAS	1	Eesti Vabaerakond	2432	False	
578	KÜLLIKI KÜBARSEPP	1	Eesti Vabaerakond	1032	True	
579	ANTS MILLER	1	Eesti Vabaerakond	227	False	
581	TÕNU TEEVEER	1	Eesti Vabaerakond	210	False	
580	LII RAMJALG	1	Eesti Vabaerakond	192	False	
583	GEORG KIRSBERG	1	Eesti Vabaerakond	179	False	
586	KUIDO MERITS	1	Eesti Vabaerakond	87	False	
582	IVIKA PUUST	1	Eesti Vabaerakond	70	False	
587	JAANUS PAASOJA	1	Eesti Vabaerakond	59	False	
584	PEETER KÕLUVERE	1	Eesti Vabaerakond	50	False	
585	MAGOMED MURTUZALIEV	1	Eesti Vabaerakond	19	False	
702	MIHHAIL KÕLVART	1	Eesti Keskerakond	10996	True	
703	VIKTOR VASSILJEV	1	Eesti Keskerakond	1862	True	
712	MÄRT SULTS	1	Eesti Keskerakond	1285	True	
707	ANDREI NOVIKOV	1	Eesti Keskerakond	1096	False	
706	KARIN TAMMEMÄGI	1	Eesti Keskerakond	881	False	
708	MAREK JÜRGENSON	1	Eesti Keskerakond	687	False	
704	KALEV KALLO	1	Eesti Keskerakond	575	True	
711	ANTON STALNUHHIN	1	Eesti Keskerakond	491	False	
705	LAURI LAASI	1	Eesti Keskerakond	407	True	
710	ENNO TAMM	1	Eesti Keskerakond	346	False	
709	IRINA ANTONJUK	1	Eesti Keskerakond	290	False	
827	EIKI NESTOR	1	Sotsiaaldemokraatlik Erakond	3744	True	
829	ALEKSEI TUROVSKI	1	Sotsiaaldemokraatlik Erakond	1787	False	
828	MARIANNE MIKKO	1	Sotsiaaldemokraatlik Erakond	859	False	
830	JAAK JUSKE	1	Sotsiaaldemokraatlik Erakond	476	False	
837	KATRIN SAKS	1	Sotsiaaldemokraatlik Erakond	291	False	
831	SIRJE KEEVALLIK	1	Sotsiaaldemokraatlik Erakond	166	False	
833	SANDRA KAMILOVA	1	Sotsiaaldemokraatlik Erakond	126	False	
832	MARIS SILD	1	Sotsiaaldemokraatlik Erakond	87	False	
835	TIIA TIIK	1	Sotsiaaldemokraatlik Erakond	78	False	
834	RAIKO PUUSTUSMAA	1	Sotsiaaldemokraatlik Erakond	56	False	
836	HEINART PUHKIM	1	Sotsiaaldemokraatlik Erakond	48	False	
952	RAIVO ORGUSAAR	1	Eesti Iseseisvuspartei	107	False	
970	SVETLANA IVNITSKAJA	1	Üksikkandidaadid	46	False	
107	KERLI GREEN	2	Rahva Ühtsuse Erakond	43	False	
104	ALEKSANDR APOLINSKY	2	Rahva Ühtsuse Erakond	38	False	
105	BEATRICE FENICE	2	Rahva Ühtsuse Erakond	25	False	
106	MARITA PITK	2	Rahva Ühtsuse Erakond	15	False	
148	MARE LIIGER	2	Eesti Konservatiivne Rahvaerakond	1924	False	
154	RAUL ÖPIK	2	Eesti Konservatiivne Rahvaerakond	265	False	
157	REIN TÖLP	2	Eesti Konservatiivne Rahvaerakond	225	False	
152	TOOMAS RULL	2	Eesti Konservatiivne Rahvaerakond	205	False	
151	GUNNAR STAHL	2	Eesti Konservatiivne Rahvaerakond	155	False	
149	KAIRET GRASSMANN	2	Eesti Konservatiivne Rahvaerakond	132	False	
150	ORHAN OKTAIN	2	Eesti Konservatiivne Rahvaerakond	125	False	
153	VEIKO HARTWIG VALGEPEA	2	Eesti Konservatiivne Rahvaerakond	87	False	
158	ALAR EHALA	2	Eesti Konservatiivne Rahvaerakond	68	False	
160	TRIIN VAN DOORSLAER	2	Eesti Konservatiivne Rahvaerakond	53	False	
161	VEIKO KRASS	2	Eesti Konservatiivne Rahvaerakond	49	False	
155	RIHO NÜÜD	2	Eesti Konservatiivne Rahvaerakond	44	False	
159	JUHAN KOBIN	2	Eesti Konservatiivne Rahvaerakond	35	False	
156	OLEV PIIR	2	Eesti Konservatiivne Rahvaerakond	29	False	
273	KEIT PENTUS-ROSIMANNUS	2	Eesti Reformierakond	5716	True	
274	ARTO AAS	2	Eesti Reformierakond	2517	True	
278	IMRE SOOÄÄR	2	Eesti Reformierakond	2102	False	
280	IVI EENMAA	2	Eesti Reformierakond	1407	False	
276	URMAS SUTROP	2	Eesti Reformierakond	1109	False	
277	ÜLLE RAJASALU	2	Eesti Reformierakond	1066	False	
275	NIKOLAI NOVOSJOLOV	2	Eesti Reformierakond	1016	False	
279	KALEV KALLEMETS	2	Eesti Reformierakond	423	False	
285	KALEV KUKK	2	Eesti Reformierakond	256	False	
281	EVE PÄRNASTE	2	Eesti Reformierakond	183	False	
282	GEORG AHER	2	Eesti Reformierakond	174	False	
286	TAAVI TOPPI	2	Eesti Reformierakond	131	False	
284	TOOMAS VIKS	2	Eesti Reformierakond	95	False	
283	OLGA AŠIHMINA	2	Eesti Reformierakond	40	False	
398	VIKTORIA LADÕNSKAJA	2	Erakond Isamaa ja Res Publica Liit	1393	True	
399	SVEN SESTER	2	Erakond Isamaa ja Res Publica Liit	1392	False	
411	JUKU-KALLE RAID	2	Erakond Isamaa ja Res Publica Liit	1257	False	
400	ERKI NOOL	2	Erakond Isamaa ja Res Publica Liit	1020	False	
402	RIINA SOLMAN	2	Erakond Isamaa ja Res Publica Liit	810	False	
404	LAGLE PAREK	2	Erakond Isamaa ja Res Publica Liit	569	False	
405	PRIIDU PÄRNA	2	Erakond Isamaa ja Res Publica Liit	381	False	
401	HENDRIK AGUR	2	Erakond Isamaa ja Res Publica Liit	336	False	
403	KALEV VAPPER	2	Erakond Isamaa ja Res Publica Liit	264	False	
407	MADIS PÄTS	2	Erakond Isamaa ja Res Publica Liit	194	False	
409	ILLIMAR LEPPIK VON WIRÉN	2	Erakond Isamaa ja Res Publica Liit	160	False	
408	LINDA EICHLER	2	Erakond Isamaa ja Res Publica Liit	133	False	
410	SÜLVI SARAPUU	2	Erakond Isamaa ja Res Publica Liit	87	False	
406	REET TREI	2	Erakond Isamaa ja Res Publica Liit	62	False	
518	ALEKSANDER LAANE	2	Erakond Eestimaa Rohelised	404	False	
520	KÜLLIKE REIMAA	2	Erakond Eestimaa Rohelised	104	False	
519	DARJA VORONTSOVA	2	Erakond Eestimaa Rohelised	43	False	
522	EVALD LANGEBRAUN	2	Erakond Eestimaa Rohelised	37	False	
521	SERGE TJURIN	2	Erakond Eestimaa Rohelised	10	False	
556	VALEV KALD	2	Eestimaa Ühendatud Vasakpartei	30	False	
558	ALEKSEI DAVÕDOV	2	Eestimaa Ühendatud Vasakpartei	17	False	
557	VLADIMIR KRUTŠININ	2	Eestimaa Ühendatud Vasakpartei	11	False	
588	ANDRES HERKEL	2	Eesti Vabaerakond	4227	True	
590	MONIKA HAUKANÕMM	2	Eesti Vabaerakond	450	True	
589	JEVGENI KRIŠTAFOVITŠ	2	Eesti Vabaerakond	446	False	
597	JAAN RIIS	2	Eesti Vabaerakond	236	False	
593	MARGUS MAIDLA	2	Eesti Vabaerakond	131	False	
591	MARIS MERISTE	2	Eesti Vabaerakond	127	False	
601	HELDUR-VALDEK SEEDER	2	Eesti Vabaerakond	104	False	
600	HOLGER PEEL	2	Eesti Vabaerakond	95	False	
599	KULNO KESKÜLA	2	Eesti Vabaerakond	72	False	
594	JAANUS LUKA	2	Eesti Vabaerakond	69	False	
598	ALDO VAINO	2	Eesti Vabaerakond	48	False	
595	ALEKSANDR DORMIDONTOV	2	Eesti Vabaerakond	29	False	
596	ALAR MAAS	2	Eesti Vabaerakond	25	False	
592	RAIVO OLMET	2	Eesti Vabaerakond	20	False	
713	EDGAR SAVISAAR	2	Eesti Keskerakond	25057	True	
714	OLGA IVANOVA	2	Eesti Keskerakond	1948	True	
726	MIHHAIL KORB	2	Eesti Keskerakond	1904	True	
715	TOOMAS VITSUT	2	Eesti Keskerakond	503	True	
717	KALLE KLANDORF	2	Eesti Keskerakond	400	False	
722	MARIA JUFEREVA	2	Eesti Keskerakond	376	False	
716	ELENA GLEBOVA	2	Eesti Keskerakond	310	False	
725	NELLI PRIVALOVA	2	Eesti Keskerakond	228	False	
720	AINI HÄRM	2	Eesti Keskerakond	218	False	
719	TARMO KRIIS	2	Eesti Keskerakond	215	False	
723	JURI DANILOV	2	Eesti Keskerakond	173	False	
721	TÕNIS MÖLDER	2	Eesti Keskerakond	169	False	
718	TAAVI AAS	2	Eesti Keskerakond	156	False	
724	HELEN LAUSMA-SAAR	2	Eesti Keskerakond	49	False	
838	ANDRES ANVELT	2	Sotsiaaldemokraatlik Erakond	3558	True	
839	BARBI-JENNY PILVRE-STORGARD	2	Sotsiaaldemokraatlik Erakond	909	False	
851	ANDREI HVOSTOV	2	Sotsiaaldemokraatlik Erakond	740	False	
850	KARL-MARTIN SINIJÄRV	2	Sotsiaaldemokraatlik Erakond	565	False	
841	VADIM BELOBROVTSEV	2	Sotsiaaldemokraatlik Erakond	387	False	
843	OTT PÄRNA	2	Sotsiaaldemokraatlik Erakond	268	False	
845	SIIM TUISK	2	Sotsiaaldemokraatlik Erakond	268	False	
844	TOOMAS ALATALU	2	Sotsiaaldemokraatlik Erakond	253	False	
842	ANDRA VEIDEMANN	2	Sotsiaaldemokraatlik Erakond	235	False	
848	TIIU KUURME	2	Sotsiaaldemokraatlik Erakond	197	False	
840	JELENA POVERINA-TŠERNÕH	2	Sotsiaaldemokraatlik Erakond	167	False	
846	REET LAJA	2	Sotsiaaldemokraatlik Erakond	118	False	
849	REIGO KIMMEL	2	Sotsiaaldemokraatlik Erakond	95	False	
847	JEVGENIA KIRILOVA	2	Sotsiaaldemokraatlik Erakond	67	False	
953	LAURI LIIKANE	2	Eesti Iseseisvuspartei	58	False	
971	MAARIKA PÄHKLEMÄE	2	Üksikkandidaadid	82	False	
966	GREETE REINSON	2	Üksikkandidaadid	42	False	
968	HENN LEETNA	2	Üksikkandidaadid	42	False	
964	ILMAR IBRAGIMOV	2	Üksikkandidaadid	26	False	
108	JANE SNAITH	3	Rahva Ühtsuse Erakond	41	False	
110	MARIO MÄRTSON	3	Rahva Ühtsuse Erakond	19	False	
109	ANDREA GREEN	3	Rahva Ühtsuse Erakond	18	False	
162	MARTIN HELME	3	Eesti Konservatiivne Rahvaerakond	4296	True	
168	PIIA PAEMURRU	3	Eesti Konservatiivne Rahvaerakond	76	False	
164	KAAREL JAAK ROOSAARE	3	Eesti Konservatiivne Rahvaerakond	51	False	
163	ANDRUS LEBERECHT	3	Eesti Konservatiivne Rahvaerakond	32	False	
170	IVO RATAS	3	Eesti Konservatiivne Rahvaerakond	32	False	
171	KALJU MÄTIK	3	Eesti Konservatiivne Rahvaerakond	24	False	
165	WESSE ALLIK	3	Eesti Konservatiivne Rahvaerakond	21	False	
169	JAAK VIMM	3	Eesti Konservatiivne Rahvaerakond	15	False	
166	MARGUS REEMETS	3	Eesti Konservatiivne Rahvaerakond	12	False	
167	EDGAR VIIGIMÄE	3	Eesti Konservatiivne Rahvaerakond	11	False	
287	URMAS PAET	3	Eesti Reformierakond	7868	True	
288	MARIS LAURI	3	Eesti Reformierakond	4019	True	
289	EERIK-NIILES KROSS	3	Eesti Reformierakond	1944	False	
291	PAUL-EERIK RUMMO	3	Eesti Reformierakond	642	False	
290	MARTIN KUKK	3	Eesti Reformierakond	456	True	
295	EERO MERILIND	3	Eesti Reformierakond	291	False	
296	ÕNNE PILLAK	3	Eesti Reformierakond	203	False	
293	JOONAS VÄNTO	3	Eesti Reformierakond	160	False	
292	KAIDO KAABERMA	3	Eesti Reformierakond	131	False	
294	JOEL JESSE	3	Eesti Reformierakond	70	False	
412	URMAS REINSALU	3	Erakond Isamaa ja Res Publica Liit	2949	True	
414	MART NUTT	3	Erakond Isamaa ja Res Publica Liit	1068	False	
413	SIIM VALMAR KIISLER	3	Erakond Isamaa ja Res Publica Liit	556	False	
415	EVELIN SAMUEL	3	Erakond Isamaa ja Res Publica Liit	268	False	
417	ANDRES ÖPIK	3	Erakond Isamaa ja Res Publica Liit	198	False	
419	JAAK UUDMÄE	3	Erakond Isamaa ja Res Publica Liit	187	False	
420	TIIT PAPP	3	Erakond Isamaa ja Res Publica Liit	144	False	
418	ANDRES ERGMA	3	Erakond Isamaa ja Res Publica Liit	132	False	
416	URMAS MARDI	3	Erakond Isamaa ja Res Publica Liit	108	False	
421	MADIS KÜBAR	3	Erakond Isamaa ja Res Publica Liit	86	False	
523	TÕNU TRUBETSKY	3	Erakond Eestimaa Rohelised	347	False	
524	MAIGI KÄIGE	3	Erakond Eestimaa Rohelised	65	False	
525	ANNE ARTUS	3	Erakond Eestimaa Rohelised	43	False	
527	ALLAN TALU	3	Erakond Eestimaa Rohelised	34	False	
526	MIKK PARIS	3	Erakond Eestimaa Rohelised	23	False	
559	VLADIMIR DROZDOV	3	Eestimaa Ühendatud Vasakpartei	28	False	
560	SVETLANA MOSKVINA	3	Eestimaa Ühendatud Vasakpartei	11	False	
602	AIN LUTSEPP	3	Eesti Vabaerakond	4109	True	
603	SERGEI METLEV	3	Eesti Vabaerakond	509	False	
611	ÜLO MATTHEUS	3	Eesti Vabaerakond	167	False	
605	TÕNU PLOOMPUU	3	Eesti Vabaerakond	143	False	
604	ANNE HANSBERG	3	Eesti Vabaerakond	126	False	
606	TARMO KALDMA	3	Eesti Vabaerakond	97	False	
609	EDA HEINLA	3	Eesti Vabaerakond	97	False	
607	TAAVI SIMSON	3	Eesti Vabaerakond	69	False	
610	JAAN MIHKEL UUSTALU	3	Eesti Vabaerakond	68	False	
608	MARGUS JAAGO	3	Eesti Vabaerakond	36	False	
730	REIN RATAS	3	Eesti Keskerakond	3449	True	
729	ERKI SAVISAAR	3	Eesti Keskerakond	1826	True	
727	ARVO SARAPUU	3	Eesti Keskerakond	1662	False	
736	IGOR KRAVTŠENKO	3	Eesti Keskerakond	1360	False	
733	MARGARITA TŠERNOGOROVA	3	Eesti Keskerakond	1159	False	
735	EDUARD TOMAN	3	Eesti Keskerakond	953	False	
728	MERIKE MARTINSON	3	Eesti Keskerakond	946	False	
731	HELLE KALDA	3	Eesti Keskerakond	771	False	
732	TIIT TERIK	3	Eesti Keskerakond	389	False	
734	IRINA EMBRICH	3	Eesti Keskerakond	217	False	
852	RAINER VAKRA	3	Sotsiaaldemokraatlik Erakond	4132	True	
853	MART MERI	3	Sotsiaaldemokraatlik Erakond	788	False	
861	SILVER MEIKAR	3	Sotsiaaldemokraatlik Erakond	738	False	
854	OLGA SÕTNIK	3	Sotsiaaldemokraatlik Erakond	358	False	
857	ANTO LIIVAT	3	Sotsiaaldemokraatlik Erakond	353	False	
855	LAURI LAATS	3	Sotsiaaldemokraatlik Erakond	282	False	
856	KADI PÄRNITS	3	Sotsiaaldemokraatlik Erakond	245	False	
858	KÜLLI URB	3	Sotsiaaldemokraatlik Erakond	176	False	
859	JAAK KANGILASKI	3	Sotsiaaldemokraatlik Erakond	142	False	
860	GERD TARAND	3	Sotsiaaldemokraatlik Erakond	97	False	
954	MERLE OTSMAA	3	Eesti Iseseisvuspartei	67	False	
111	RAIMO KÄGU	4	Rahva Ühtsuse Erakond	205	False	
112	ANDREI ŠARŠOV	4	Rahva Ühtsuse Erakond	40	False	
113	RAIVO ALGUR	4	Rahva Ühtsuse Erakond	25	False	
115	SILJA TRISBERG	4	Rahva Ühtsuse Erakond	17	False	
114	TAAVI KEEDUS	4	Rahva Ühtsuse Erakond	16	False	
172	HENN PÕLLUAAS	4	Eesti Konservatiivne Rahvaerakond	4309	True	
173	SIIM POHLAK	4	Eesti Konservatiivne Rahvaerakond	1128	False	
174	MART JÄRVIK	4	Eesti Konservatiivne Rahvaerakond	323	False	
187	MAIDO PAJO	4	Eesti Konservatiivne Rahvaerakond	298	False	
177	RENE KOKK	4	Eesti Konservatiivne Rahvaerakond	180	False	
178	KAI RIMMEL	4	Eesti Konservatiivne Rahvaerakond	175	False	
180	LAURI LASIMER	4	Eesti Konservatiivne Rahvaerakond	122	False	
175	PAUL PUUSTUSMAA	4	Eesti Konservatiivne Rahvaerakond	116	False	
185	ANETT LEOSK	4	Eesti Konservatiivne Rahvaerakond	100	False	
179	HEINO LÕIVEKE	4	Eesti Konservatiivne Rahvaerakond	97	False	
181	VEIKO VÄRK	4	Eesti Konservatiivne Rahvaerakond	50	False	
182	OLAVI TUTT	4	Eesti Konservatiivne Rahvaerakond	39	False	
186	TAAVI TAPU	4	Eesti Konservatiivne Rahvaerakond	39	False	
176	JÜRI DERKUN	4	Eesti Konservatiivne Rahvaerakond	31	False	
183	OLAV KRUUS	4	Eesti Konservatiivne Rahvaerakond	25	False	
184	TOIVO KIRTSI	4	Eesti Konservatiivne Rahvaerakond	18	False	
297	TAAVI RÕIVAS	4	Eesti Reformierakond	15881	True	
300	YOKO ALENDER	4	Eesti Reformierakond	2715	True	
309	MADIS MILLING	4	Eesti Reformierakond	2580	True	
301	AIVAR SÕERD	4	Eesti Reformierakond	2047	True	
299	KALLE PALLING	4	Eesti Reformierakond	1917	True	
298	LAINE RANDJÄRV	4	Eesti Reformierakond	1698	True	
304	ANDRE SEPP	4	Eesti Reformierakond	679	False	
306	MART VÕRKLAEV	4	Eesti Reformierakond	615	False	
305	ENNO FELS	4	Eesti Reformierakond	566	False	
308	ANNELIIS KÕIV	4	Eesti Reformierakond	549	False	
312	VLADAS RADVILAVIČIUS	4	Eesti Reformierakond	401	False	
307	ANDRUS UMBOJA	4	Eesti Reformierakond	369	False	
303	TÕNIS KÕIV	4	Eesti Reformierakond	355	False	
310	AIN TÄPSI	4	Eesti Reformierakond	237	False	
302	KALEV LILLO	4	Eesti Reformierakond	168	False	
311	ENA SOODLA	4	Eesti Reformierakond	147	False	
422	JUHAN PARTS	4	Erakond Isamaa ja Res Publica Liit	4208	True	
423	MARKO MIHKELSON	4	Erakond Isamaa ja Res Publica Liit	2842	True	
425	TIINA KANGRO	4	Erakond Isamaa ja Res Publica Liit	1669	False	
426	AIVAR RIISALU	4	Erakond Isamaa ja Res Publica Liit	1536	False	
424	ANDRUS SAARE	4	Erakond Isamaa ja Res Publica Liit	1054	False	
428	MARI-ANN KELAM	4	Erakond Isamaa ja Res Publica Liit	581	False	
429	KAUPO RÄTSEPP	4	Erakond Isamaa ja Res Publica Liit	475	False	
437	TOOMAS TÕNISTE	4	Erakond Isamaa ja Res Publica Liit	462	False	
427	LAURI VAHTRE	4	Erakond Isamaa ja Res Publica Liit	419	False	
430	ANDRES LAISK	4	Erakond Isamaa ja Res Publica Liit	281	False	
436	REET ROOS	4	Erakond Isamaa ja Res Publica Liit	254	False	
435	ANDRES KAARMANN	4	Erakond Isamaa ja Res Publica Liit	192	False	
432	TIIT LEIER	4	Erakond Isamaa ja Res Publica Liit	183	False	
433	JAN TREI	4	Erakond Isamaa ja Res Publica Liit	135	False	
434	PRIIT PÕLDMÄE	4	Erakond Isamaa ja Res Publica Liit	101	False	
431	KADRI TILLEMANN	4	Erakond Isamaa ja Res Publica Liit	92	False	
528	VALDUR LAHTVEE	4	Erakond Eestimaa Rohelised	427	False	
531	JOONAS LAKS	4	Erakond Eestimaa Rohelised	155	False	
530	IVAR SOONE	4	Erakond Eestimaa Rohelised	94	False	
529	ANDRES MEESAK	4	Erakond Eestimaa Rohelised	63	False	
533	KALJU VALDMANN	4	Erakond Eestimaa Rohelised	53	False	
532	AIN KABAL	4	Erakond Eestimaa Rohelised	44	False	
561	GEORGI BÕSTROV	4	Eestimaa Ühendatud Vasakpartei	233	False	
562	JEVGENI GOLOVATŠ	4	Eestimaa Ühendatud Vasakpartei	85	False	
563	HEINO RÜÜTEL	4	Eestimaa Ühendatud Vasakpartei	19	False	
565	MADIS TÄNAVSUU	4	Eestimaa Ühendatud Vasakpartei	12	False	
564	ALEKSANDR PAURI	4	Eestimaa Ühendatud Vasakpartei	2	False	
612	ARTUR TALVIK	4	Eesti Vabaerakond	7308	True	
613	ALAR MUTLI	4	Eesti Vabaerakond	995	False	
615	AIMAR ALTOSAAR	4	Eesti Vabaerakond	413	False	
618	PRIIT KÄRSNA	4	Eesti Vabaerakond	296	False	
614	TIIA VÄLK	4	Eesti Vabaerakond	255	False	
620	VEIKO HERODES	4	Eesti Vabaerakond	135	False	
624	URMAS KRISTAL	4	Eesti Vabaerakond	113	False	
619	LIISA OJANGU	4	Eesti Vabaerakond	112	False	
617	KATRIN MESILANE	4	Eesti Vabaerakond	110	False	
616	AIVAR KOITLA	4	Eesti Vabaerakond	103	False	
625	EGGE KULBOK-LATTIK	4	Eesti Vabaerakond	89	False	
621	ÜLLE LENNUK	4	Eesti Vabaerakond	70	False	
626	MATI SAREVET	4	Eesti Vabaerakond	60	False	
622	MART MUTSO	4	Eesti Vabaerakond	57	False	
627	VAHUR HERM	4	Eesti Vabaerakond	57	False	
